timestamp,ticker,action,quantity,price,trader_id
2024-02-09 23:33:07,AMZN,SELL,0,204.22,T012
2024-06-05 07:48:10,AMZN,SELL,39,,T018
2024-07-22 16:58:21,META,SELL,212,509.83,T006
2024-04-26 05:03:50,GOOGL,SELL,229,144.76,T020
2024-12-28 05:19:36,JPM,SELL,450,180.58,T010
2024-11-22 01:11:56,AMZN,BUY,392,208.48,T009
2024-05-27 20:58:30,GOOGL,SELL,29,148.24,T001
2024-08-01 06:39:02,JPM,SELL,329,206.67,T010
2024-01-19 19:47:20,NFLX,BUY,103,621.87,T012
2024-08-29 08:10:09,MSFT,BUY,346,387.87,T003
2024-07-24 01:07:34,GOOGL,BUY,124,171.31,T007
2024-02-16 23:37:01,GOOGL,BUY,108,149.76,T019
2024-10-31 12:26:25,V,BUY,89,282.1,T007
2024-04-16 10:08:35,V,BUY,14,279.65,T011
2024-03-08 18:15:48,NVDA,SELL,290,710.98,T005
2024-12-21 02:48:47,NFLX,BUY,45,638.68,T013
2024-05-01 12:17:32,NFLX,BUY,62,,T001
2024-11-08 13:47:47,GOOGL,SELL,46,150.66,T016
2024-12-29 15:07:56,TSLA,SELL,48,187.49,T012
2024-09-23 14:58:52,NVDA,BUY,391,791.35,T016
2024-09-30 09:33:36,AAPL,BUY,278,176.95,T002
2024-09-04 15:14:02,V,BUY,153,278.85,T012
2024-02-28 21:04:32,TSLA,BUY,173,256.5,T003
2024-08-10 12:43:33,META,SELL,74,482.74,T011
2024-06-07 20:37:36,MSFT,BUY,450,405.83,T010
2024-04-24 08:12:41,AAPL,SELL,373,171.93,T017
2024-08-08 00:58:51,AAPL,BUY,38,178.33,T018
2024-07-14 06:40:21,META,SELL,453,467.01,T015
2024-10-27 17:50:55,NFLX,BUY,128,623.25,T006
2024-12-26 02:25:07,MSFT,SELL,376,389.51,T017
2024-03-19 15:09:04,V,SELL,288,-272.64,T001
2024-01-16 17:13:29,AMZN,BUY,251,206.99,T001
2024-06-14 21:30:26,V,SELL,43,-293.01,T018
2024-07-05 03:40:24,V,SELL,260,289.15,T010
2024-06-25 11:16:45,GOOGL,BUY,385,142.55,T015
2024-07-01 20:03:31,META,SELL,281,519.14,T015
2024-04-19 13:05:46,GOOGL,SELL,110,153.14,T018
2024-10-31 16:21:38,NVDA,BUY,277,911.01,T008
